itemid,description,itemparent
webshell,Entorno Web de V12,\0
XW10,Ver mensajes de la organización,webshell
XW11,Publicar mensajes a la organización,webshell
webshell.notiman,Administración de notificaciones,webshell
XW20,Administración de notificaciones,webshell.notiman
webshell.cfgfpage,Configuración de páginas de inicio,webshell
XW40,Configuración de páginas de inicio,webshell.cfgfpage
XW41,Agregar página de inicio,webshell.cfgfpage
XW42,Editar página de inicio,webshell.cfgfpage
XW43,Eliminar página de inicio,webshell.cfgfpage
webshell.interchat,"Chat internas",webshell
XW30,Conversaciones internas,webshell.interchat
XW31,Crear tópicos de conversación,webshell.interchat
XW32,Acceder a cualquier conversación,webshell.interchat
XW33,Cerrar cualquier conversación,webshell.interchat
XW34,Eliminar conversaciones,webshell.interchat
XW35,Escribir en las conversaciones,webshell.interchat
